Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,MA20,MA50,Volatility
2025-04-23,154.9797361333446,156.8919577671247,153.18702360261742,154.72079467773438,31128800,GOOGL,2.5615759461028453,153.43501205444335,164.40245208740234,3.32970426649416
2025-04-24,155.5175149877812,158.9435838456132,155.15897254458986,158.6348419189453,45894000,GOOGL,2.5297486671804092,153.1471824645996,163.8880078125,3.3227034179695174
2025-04-25,164.4014202116321,165.42724716152773,160.38772903857225,161.30401611328125,56034000,GOOGL,1.682590130924555,153.13323974609375,163.46096923828125,3.324261127429731
2025-04-28,161.7720931027873,162.48917806099573,157.9576193461597,159.95947265625,29745800,GOOGL,-0.833546175370492,153.44596786499022,162.9567025756836,3.1264977115820085
2025-04-29,159.6706623611363,160.0889594093041,156.88200017636458,159.5113067626953,26809000,GOOGL,-0.28017465056151547,153.720849609375,162.46157806396485,3.128704087561795
2025-04-30,157.34011335090173,158.62489684356424,154.7705615625615,158.15679931640625,34981100,GOOGL,-0.8491607734768092,153.80699768066407,161.9684115600586,3.1205189060832024
2025-05-01,159.80011945187778,161.29404393761732,158.26636366652554,160.6466827392578,30203200,GOOGL,1.5743132344695043,154.01913604736328,161.4951986694336,3.137616067444268
2025-05-02,162.7481471411051,164.3018262703875,161.21437606436152,163.36563110351562,25715000,GOOGL,1.692502028610754,154.68193969726562,161.0904913330078,2.991477608577958
2025-05-05,162.33980079480253,164.72011996544808,162.06093609508568,163.54490661621094,21341800,GOOGL,0.10973881806370933,155.60867080688476,160.78686004638672,2.8527296574611736
2025-05-06,161.51315867988768,164.13251121588542,160.5371322432176,162.56886291503906,21277200,GOOGL,-0.5968047072614446,156.4293327331543,160.471865234375,2.865735179536153
2025-05-07,163.41540177767422,164.33167352764482,147.24117583349363,150.766845703125,127490100,GOOGL,-7.259703365263725,156.76197967529296,159.99703186035157,3.338525008491028
2025-05-08,154.37219053033292,155.29841637896206,152.28069025725696,153.6551055908203,57498700,GOOGL,1.9157128838409143,156.54137573242187,159.6334844970703,2.544361818724069
2025-05-09,153.5455484927057,154.42198900650553,151.58352655875794,152.1313018798828,32435300,GOOGL,-0.9917039235880276,156.53788833618165,159.3236212158203,2.4109557643104313
2025-05-12,156.85210396646104,158.45558338936252,155.61712102310727,157.81817626953125,44138800,GOOGL,3.7381356232253804,156.60362091064454,159.09208068847656,2.4744524828625343
2025-05-13,158.1468266808066,159.919630909492,155.52748962665564,158.8838348388672,42382100,GOOGL,0.675244508918893,156.62652664184571,158.94691314697266,2.4639140200846574
2025-05-14,159.31210428165852,166.3235827604559,158.96351584378579,164.70018005371094,48755900,GOOGL,3.6607532923298436,157.07769165039062,158.84027923583983,2.552693176272331
2025-05-15,165.16827329805872,165.53678497348048,161.71232706903228,163.2958984375,33146700,GOOGL,-0.852629071657951,157.60703887939454,158.6637777709961,2.5150544309396405
2025-05-16,167.05061660833445,168.66406524073284,164.94916241420358,165.51686096191406,42846900,GOOGL,1.3600846963490065,158.3554946899414,158.5450259399414,2.488003806475757
2025-05-19,163.84367142462605,165.96504904182535,163.55485271284547,165.86544799804688,30426100,GOOGL,0.21060515170900906,159.29517288208007,158.40320251464843,2.4002694223703047
2025-05-20,165.75590012466307,167.817523283891,162.24019892385144,163.31582641601562,46607700,GOOGL,-1.5371625693021196,159.9181396484375,158.36555603027344,2.401188306192544
2025-05-21,163.02700354080346,172.43872486137178,162.89752522096424,167.8772735595703,73416000,GOOGL,2.7930221116080123,160.5759635925293,158.45559051513672,2.4125555321421066
2025-05-22,171.15394376538748,176.05401394301808,170.0185618363875,170.1779022216797,74864400,GOOGL,1.370422936546567,161.15311660766602,158.53048553466797,2.37323586386075
2025-05-23,168.3752347830085,169.2715985296926,167.2099755896054,167.78762817382812,35211400,GOOGL,-1.4045736941438514,161.47729721069337,158.64422302246095,2.3843643232519867
2025-05-27,169.4707843872067,172.4685871557562,169.31142880693562,172.19967651367188,37995700,GOOGL,2.629543302962034,162.08930740356445,158.79182220458983,2.4287969238626204
2025-05-28,172.45864324425892,174.56009759174123,171.21370619473115,171.66188049316406,34784000,GOOGL,-0.31230954168784963,162.69683609008788,158.952568359375,2.4292796930218543
2025-05-29,173.29524158580244,173.71353862116436,169.93889608019336,171.16390991210938,29317300,GOOGL,-0.29008803796397586,163.34719161987306,159.1754620361328,2.4173813895243264
2025-05-30,170.65598330984582,171.51250064033223,166.76181642373982,171.04440307617188,52639900,GOOGL,-0.06982011336318372,163.86707763671876,159.33182647705078,2.404132856280784
2025-06-02,167.16018492149544,169.18196148692468,166.7120106202351,168.34536743164062,38612300,GOOGL,-1.5779736699886526,164.116064453125,159.4559213256836,2.4186251092825106
2025-06-03,166.81161909114326,167.79759955842107,164.61056358901342,165.5069122314453,45084900,GOOGL,-1.6860904719269487,164.21416473388672,159.49954376220703,2.4543839314801206
2025-06-04,166.06466254041968,167.53866387757995,165.6861967820594,167.36935424804688,26900800,GOOGL,1.1252956094045974,164.4541893005371,159.5069143676758,2.4592706115872853
2025-06-05,169.6500488073603,170.23765541573877,166.9111874462575,167.5286865234375,36379100,GOOGL,0.09519799852635291,165.29228134155272,159.46010467529297,1.7311607185015812
2025-06-06,170.1380845314093,173.79321800916722,170.1380845314093,172.97653198242188,35731800,GOOGL,3.2518881225886087,166.25835266113282,159.631806640625,1.8108882765110175
2025-06-09,174.04350210929846,175.96802000177186,173.87398751199405,175.58909606933594,28935900,GOOGL,1.510357536350404,167.43124237060547,159.91193115234375,1.7806300666099077
2025-06-10,175.69875246858433,180.5947884106406,174.41242888747234,178.09193420410156,61766100,GOOGL,1.42539496517331,168.44493026733397,160.3996716308594,1.645252714702081
2025-06-11,179.2586188457646,179.8569029175766,176.24720547354727,176.8455047607422,31646800,GOOGL,-0.6998797833993486,169.34301376342773,160.8563082885742,1.6712997682640525
2025-06-12,175.6788256293735,176.2172980493167,174.25290075490625,175.2001953125,20941900,GOOGL,-0.9303654342066259,169.86801452636718,161.23163543701173,1.5309668192483714
2025-06-13,171.949458947436,176.62611964590695,171.89959814035095,174.17311096191406,27663100,GOOGL,-0.5862347063905649,170.4118751525879,161.58701934814454,1.5213514046610592
2025-06-16,174.23296058008373,176.43668073159893,174.15318632141427,176.2671661376953,27389200,GOOGL,1.2022838452022233,170.94939041137695,162.11017150878905,1.5161494064394765
2025-06-17,175.20018931566514,176.85547082344988,174.08338020939252,175.44947814941406,24973000,GOOGL,-0.46389126585406615,171.4285919189453,162.7189553833008,1.5263183014576185
2025-06-18,175.50931582595604,176.0577543370001,172.70731159680278,172.8269805908203,28707500,GOOGL,-1.4947308970394424,171.90414962768554,163.25238250732423,1.5236687696498457
2025-06-20,173.45517315134433,173.8440631360939,164.98933381824614,166.1659698486328,75659900,GOOGL,-3.854149808910856,171.81858444213867,163.69342376708985,1.6680828236094236
2025-06-23,165.7970070061314,166.86395520731054,161.53914984557392,164.72007751464844,57671000,GOOGL,-0.8701494868663562,171.54569320678712,163.82648162841798,1.6435740455787087
2025-06-24,166.4451910152502,167.74149618325788,165.6574448802541,166.29562377929688,40524300,GOOGL,0.9564992248794368,171.47109298706056,164.10837310791015,1.633483509075705
2025-06-25,167.15314653822034,171.86968681108624,167.0733722889804,170.1944580078125,35479000,GOOGL,2.3445200420247003,171.37083206176757,164.38219177246094,1.610117585032947
2025-06-26,171.9394978428303,173.19592338119924,169.4565906415466,173.0463409423828,31796700,GOOGL,1.6756614568727013,171.4400550842285,164.6746041870117,1.6536010807019308
2025-06-27,173.04631507807895,178.17169244521818,171.24146651329573,178.02212524414062,108140200,GOOGL,2.875405671486897,171.78296585083007,165.1215090942383,1.7666441844308134
